t,y,dy,station_id,ccd
55103.4634033,14.651425000000001,0.01577,4,2
55103.466724,14.698965000000001,0.01548,4,2
55103.469858000004,14.708405,0.01433,4,2
55103.4795686,14.608435,0.014969999999999999,4,2
55104.721510300005,14.657395000000001,0.013640000000000001,2,2
55130.407681,14.577335,0.011179999999999999,4,2
55159.30417,14.629215000000002,0.0103,4,2
55159.307432300004,14.634905,0.01042,4,2
55159.3106873,14.640035,0.01011,4,2
55159.313954900004,14.631965000000001,0.01035,4,2
55159.3172243,14.641045,0.010020000000000001,4,2
55159.3205077,14.652605000000001,0.01027,4,2
55159.3237791,14.647905000000002,0.01,4,2
55159.327057099996,14.674555,0.01011,4,2
55159.3303301,14.692425000000002,0.010459999999999999,4,2
55159.33360319999,14.697065000000002,0.01047,4,2
55159.545063800004,14.762075000000003,0.01181,2,2
55159.5483423,14.778695,0.01169,2,2
55159.5516202,14.782485000000003,0.011359999999999999,2,2
55159.554891199994,14.826845,0.012,2,2
55159.55816159999,14.799065000000002,0.01137,2,2
55159.5614305,14.795645000000002,0.01174,2,2
55159.5647054,14.798295000000001,0.01178,2,2
55159.5679872,14.782505000000002,0.01124,2,2
55180.2792097,14.748695,0.01245,4,2
55433.8015331,14.730635000000003,0.01554,2,2
55433.80505549999,14.708675000000003,0.014759999999999999,2,2
55433.808691499995,14.715515000000002,0.01517,2,2
55433.812003900006,14.731095000000002,0.01403,2,2
55433.8153574,14.716265000000002,0.0147,2,2
55444.77660419999,14.389495000000002,0.008709999999999999,2,2
55444.7800737,14.399065000000002,0.008579999999999999,2,2
55444.783499699995,14.397865000000003,0.008409999999999999,2,2
55444.7878466,14.387935000000004,0.00831,2,2
55444.79159580001,14.415545000000002,0.00863,2,2
55444.7950309,14.389975000000003,0.00829,2,2
55444.7993821,14.429645,0.00842,2,2
55444.8028103,14.416045,0.008329999999999999,2,2
55444.8062716,14.422385000000004,0.008459999999999999,2,2
55444.8109801,14.430665000000003,0.008759999999999999,2,2
55444.8144357,14.439745000000002,0.008740000000000001,2,2
55444.8178821,14.435305000000001,0.008329999999999999,2,2
55444.8222171,14.433505000000002,0.00854,2,2
55444.8256577,14.448735000000003,0.008140000000000001,2,2
55444.8294035,14.423265000000002,0.00815,2,2
55444.83285880001,14.458745000000002,0.00826,2,2
55444.8366947,14.467075000000003,0.008440000000000001,2,2
55444.8410594,14.472645000000002,0.00826,2,2
55444.84452130001,14.465465000000002,0.00831,2,2
55444.848289999994,14.465965000000002,0.00827,2,2
55444.851698399994,14.455785000000004,0.00809,2,2
55444.856060000006,14.474715000000003,0.00826,2,2
55444.8594722,14.488405000000002,0.00834,2,2
55444.86293810001,14.465895000000002,0.008159999999999999,2,2
55444.86672209999,14.491985000000003,0.0088,2,2
55444.870201100006,14.480925000000003,0.00855,2,2
55444.873662599995,14.499925000000003,0.00837,2,2
55444.87801769999,14.513725000000003,0.008620000000000001,2,2
55444.881489199994,14.498745000000001,0.00838,2,2
55444.885243900004,14.491445,0.00824,2,2
55444.889651,14.511555000000001,0.008320000000000001,2,2
55444.8931185,14.498495000000002,0.00834,2,2
55444.896594599995,14.482535000000004,0.008140000000000001,2,2
55444.900954699995,14.522145000000002,0.008409999999999999,2,2
55444.904716799996,14.520385000000003,0.00848,2,2
55444.908138900006,14.540265000000003,0.008579999999999999,2,2
55444.9125713,14.562535000000004,0.0089,2,2
55445.77283169999,14.688115000000002,0.00951,2,2
55445.7762989,14.719645000000002,0.01004,2,2
55445.7797526,14.701315000000003,0.00945,2,2
55445.7844051,14.689635000000004,0.00946,2,2
55445.787862599995,14.691935000000004,0.00943,2,2
55445.7912869,14.724405000000003,0.00963,2,2
55445.7956661,14.704115000000002,0.0096,2,2
55445.799118099996,14.718825000000002,0.0097,2,2
55445.802877400005,14.706815000000002,0.00937,2,2
55445.807274599996,14.727505000000003,0.00983,2,2
55445.810741299996,14.736295000000002,0.009640000000000001,2,2
55445.8141733,14.738125000000004,0.0097,2,2
55445.8185738,14.734895000000002,0.00954,2,2
55445.8223359,14.735345,0.00941,2,2
55445.8257921,14.737335000000003,0.0098,2,2
55445.830184800005,14.775425000000004,0.0107,2,2
55445.8336163,14.711635000000003,0.009170000000000001,2,2
55445.8370748,14.731845000000002,0.009340000000000001,2,2
55445.8417357,14.693935000000003,0.009340000000000001,2,2
55445.8451947,14.671955000000002,0.00914,2,2
55445.848642499994,14.688035000000003,0.00916,2,2
55445.853046300006,14.666705000000002,0.00895,2,2
55445.856513900006,14.663185000000004,0.00886,2,2
55445.86028080001,14.611175000000003,0.008740000000000001,2,2
55445.8646673,14.609625000000003,0.00873,2,2
55445.8681396,14.583685000000004,0.00868,2,2
55445.8715892,14.539415000000002,0.0084,2,2
55445.8759872,14.528005000000002,0.00829,2,2
55445.879753400004,14.498955000000002,0.00825,2,2
55445.8832022,14.475165000000002,0.008020000000000001,2,2
55445.8876217,14.448765000000002,0.00804,2,2
55445.8910934,14.424155000000003,0.007790000000000001,2,2
55445.89452509999,14.411155000000003,0.00777,2,2
55445.8996219,14.385495,0.00762,2,2
55445.9030706,14.373315000000002,0.00757,2,2
55445.906715,14.335295000000002,0.00758,2,2
55445.911122000005,14.351105000000002,0.00785,2,2
55446.7693686,14.537455000000001,0.008759999999999999,2,2
55446.7727898,14.535375000000004,0.00878,2,2
55446.7765362,14.549835000000003,0.00875,2,2
55446.78097690001,14.529595,0.00865,2,2
55446.7844222,14.532865000000003,0.00853,2,2
55446.787864900005,14.542885000000004,0.00853,2,2
55446.7922599,14.555665000000003,0.008579999999999999,2,2
